,Unnamed: 0,code,station,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y,07-10,10-17,17-22,commute,Total,com70
2068,2097,7287,신내6단지아파트.옹기테마공원,0.6458333333333333,14.8125,2.0,19.0,5.2375,24.9625,37.61409639,127.0899066,7.729166666666667,10.5,15.1,22.829166666666666,33.329166666666666,0
2069,2098,7288,신내우체국.5단지두산대림아파트,70.10833333333333,49.0,67.34821428571429,34.364285714285714,65.7325,31.8625,37.61660849,127.0899215,59.55416666666667,50.85625,48.7975,108.35166666666666,159.20791666666668,0
2070,2099,7289,신내우체국.5단지두산대림아파트,22.620833333333334,62.23333333333333,25.03392857142857,57.52857142857143,26.54,61.7475,37.61641419,127.0896596,42.42708333333333,41.28125,44.14375,86.57083333333333,127.85208333333333,0
2071,2100,7290,구립도서관체육관,46.0625,32.671875,113.90178571428572,32.566964285714285,74.109375,22.646875,37.61551953,127.0873173,39.3671875,73.234375,48.378125,87.7453125,160.9796875,0
2072,2101,7291,구립도서관체육관,14.291666666666668,111.75,30.515625,86.41294642857143,24.94375,87.0625,37.61550443,127.0875716,63.020833333333336,58.464285714285715,56.003125,119.02395833333333,177.48824404761905,0
2073,2102,7292,신내4단지아파트,170.86666666666667,64.8875,108.13571428571429,44.517857142857146,56.845000000000006,70.095,37.61659163,127.0860834,117.87708333333333,76.32678571428572,63.47,181.34708333333333,257.67386904761906,0
2074,2103,7293,신내4단지아파트,47.454166666666666,43.64583333333333,31.7625,40.30535714285715,21.975,62.8525,37.61657185,127.086254,45.55,36.033928571428575,42.41375,87.96375,123.99767857142858,0
2075,2104,7294,지하철6호선화랑대역,109.34375,251.26388888888889,119.13244047619048,95.74255952380952,144.81458333333333,91.86666666666667,37.61973262,127.0859767,180.30381944444446,107.4375,118.340625,298.64444444444445,406.08194444444445,1
2076,2105,7295,지하철6호선화랑대역,65.675,47.45833333333333,33.114285714285714,36.53035714285714,85.67,32.505,37.61965468,127.086365,56.56666666666666,34.82232142857143,59.087500000000006,115.65416666666667,150.4764880952381,1
2077,2106,7296,봉화산역2번출구,62.407738095238095,1036.6517857142858,53.06887755102041,300.55612244897964,68.87857142857142,242.24464285714288,37.61682419,127.0928492,549.5297619047619,176.81250000000003,155.56160714285716,705.0913690476191,881.9038690476191,1
2078,2107,7297,봉화산역3번출구,428.0059523809524,92.94345238095238,369.5892857142857,68.01658163265306,1006.6285714285714,84.87142857142858,37.61664574,127.0930385,260.4747023809524,218.8029336734694,545.75,806.2247023809524,1025.0276360544217,1
2079,2108,7298,중랑경찰서후문,11.291666666666666,140.99305555555557,12.205357142857144,61.71428571428572,59.0875,81.50833333333334,37.61977445,127.1051592,76.14236111111111,36.95982142857143,70.29791666666667,146.4402777777778,183.40009920634924,1
2080,2109,7299,새우개마을,42.07638888888889,2.395833333333333,31.639880952380956,2.952380952380953,23.15416666666667,2.6750000000000003,37.618204,127.10347,22.236111111111114,17.296130952380956,12.914583333333335,35.15069444444445,52.4468253968254,0
2081,2110,7300,신내능마을,7.930555555555556,62.326388888888886,6.7559523809523805,43.95238095238096,9.533333333333331,55.9125,37.61438593,127.1014998,35.12847222222222,25.35416666666667,32.72291666666666,67.85138888888889,93.20555555555556,0
2082,2111,7301,신내능마을,71.5625,12.208333333333334,47.66964285714285,11.741071428571429,36.5375,9.4625,37.61455855,127.1014345,41.885416666666664,29.70535714285714,23.0,64.88541666666666,94.5907738095238,0
2083,2112,7302,신내교회.신내데시앙아파트,2.5968992248062017,31.27906976744186,4.358803986710964,61.7452934662237,6.778294573643411,114.1751937984496,37.61001201,127.1011734,16.93798449612403,33.05204872646733,60.4767441860465,77.41472868217053,110.46677740863787,0
2084,2113,7303,신내교회.신내데시앙아파트,311.28682170542635,22.74160206718346,147.38205980066445,20.92691029900332,87.19534883720931,15.389147286821704,37.61053684,127.1010655,167.0142118863049,84.15448504983388,51.2922480620155,218.30645994832042,302.46094499815433,0
2085,2114,7304,신내초등학교,334.8411458333333,52.71875,154.91294642857144,41.113839285714285,114.5453125,38.6421875,37.605293,127.100765,193.77994791666666,98.01339285714286,76.59375,270.37369791666663,368.3870907738095,1
2086,2115,7305,신내새한아파트앞,52.109375,64.23177083333333,35.300223214285715,90.08147321428572,26.728125,184.4046875,37.60584434,127.1009227,58.170572916666664,62.69084821428572,105.56640625,163.73697916666666,226.42782738095238,0
2087,2116,7306,능산지하차도,28.8359375,118.33072916666669,31.78125,107.56696428571428,43.5515625,198.6734375,37.600571,127.100411,73.58333333333334,69.67410714285714,121.11250000000001,194.69583333333335,264.3699404761905,1
2088,2117,7307,능산지하차도,239.35119047619045,67.60416666666667,102.93239795918366,54.911989795918366,89.13035714285715,35.142857142857146,37.60108299,127.100329,153.47767857142856,78.92219387755101,62.136607142857144,215.6142857142857,294.5364795918367,1
2089,2118,7308,상봉터미널,79.54861111111111,332.63194444444446,174.69345238095238,490.5714285714286,240.09166666666667,483.675,37.59645981,127.0930155,206.09027777777777,332.6324404761905,361.8833333333333,567.973611111111,900.6060515873015,0
2090,2119,7309,상봉터미널,343.609375,85.75520833333333,489.5535714285714,137.296875,620.059375,126.5875,37.59622942,127.0929064,214.68229166666666,313.42522321428567,373.3234375,588.0057291666667,901.4309523809524,0
2091,2120,7310,망우3동주민센터.혜원여중고후문,192.78125,241.13541666666663,140.32589285714286,204.89285714285717,133.475,295.925,37.59216172,127.0934504,216.95833333333331,172.609375,214.7,431.6583333333333,604.2677083333333,0
2092,2121,7311,망우3동주민센터.혜원여중고후문,422.8125,224.23958333333331,199.4330357142857,149.28125,187.2,178.75625,37.5924693,127.0933015,323.52604166666663,174.35714285714283,182.97812499999998,506.5041666666666,680.8613095238095,1
2093,2122,7312,동원시장,102.04166666666669,184.03125,122.61160714285714,166.60267857142856,145.4,284.5375,37.59045333,127.0936215,143.03645833333334,144.60714285714283,214.96875,358.00520833333337,502.6123511904762,0
2094,2123,7313,동원시장,206.27083333333331,113.1875,218.4330357142857,172.5,241.59375,189.025,37.59040356,127.0935067,159.72916666666666,195.46651785714283,215.309375,375.0385416666667,570.5050595238095,0
2095,2124,7314,면목본동파출소,100.0,116.0,76.63392857142857,130.0625,74.05625,177.14375,37.58865127,127.0940451,108.0,103.34821428571428,125.60000000000001,233.60000000000002,336.9482142857143,0
2096,2125,7315,면목본동파출소,386.020202020202,107.64646464646464,205.33766233766232,109.17748917748918,182.84242424242424,144.6848484848485,37.587206,127.094428,246.83333333333331,157.25757575757575,163.76363636363635,410.59696969696967,567.8545454545454,0
2097,2126,7316,중화2동체육공원,241.0208333333333,44.78125,93.85714285714286,92.00892857142856,50.2125,147.9,37.60005504,127.0735865,142.90104166666663,92.93303571428571,99.05625,241.95729166666663,334.89032738095233,0
2098,2127,7317,중화빗물펌프장,169.625,69.0,62.473214285714285,88.59821428571429,34.65,169.225,37.59819971,127.0719239,119.3125,75.53571428571429,101.9375,221.25,296.7857142857143,1
2099,2128,7318,중화2동새마을금고,622.75,131.16666666666666,222.17857142857144,102.98214285714286,89.8625,155.775,37.5952296,127.0722405,376.9583333333333,162.58035714285717,122.81875,499.7770833333333,662.3574404761905,1
2100,2129,7319,중화2동새마을금고,224.5625,41.72916666666666,110.64732142857144,86.0625,75.54375,175.88125,37.59523327,127.072346,133.14583333333331,98.35491071428572,125.7125,258.85833333333335,357.21324404761907,0
2101,2130,7320,중랑교동부시장,182.20833333333331,174.04166666666666,100.0,108.28571428571428,75.925,79.0875,37.59382826,127.0725405,178.125,104.14285714285714,77.50625,255.63125,359.77410714285713,0
2102,2131,7321,중랑교동부시장,52.833333333333336,62.3125,60.660714285714285,109.20535714285714,87.36875,175.82500000000002,37.59387657,127.0726382,57.57291666666667,84.93303571428571,131.596875,189.1697916666667,274.1028273809524,0
2103,2132,7324,아남리치카운티아파트,91.1875,131.14583333333331,56.11607142857143,95.17857142857144,79.4625,157.38750000000002,37.59022041,127.0852656,111.16666666666666,75.64732142857144,118.42500000000001,229.59166666666667,305.23898809523814,1
2104,2133,7325,망우동고개,65.36111111111111,168.16666666666666,29.39583333333333,194.42857142857144,38.204166666666666,296.21250000000003,37.60127062,127.1082109,116.76388888888889,111.91220238095238,167.20833333333334,283.97222222222223,395.8844246031746,0
2105,2134,7327,망우금호어울림아파트,431.5625,33.619791666666664,210.52008928571428,26.082589285714285,161.046875,45.99375,37.60204541,127.1079813,232.59114583333334,118.30133928571428,103.5203125,336.11145833333336,454.41279761904764,1
2106,2135,7328,망우동금호어울림아파트,42.47222222222222,105.7361111111111,34.904761904761905,95.52083333333331,22.75,163.81666666666666,37.60235054,127.1080165,74.10416666666666,65.2127976190476,93.28333333333333,167.3875,232.60029761904758,0
2107,2136,7329,경남아파트,176.66666666666666,110.52083333333331,114.25223214285714,20.09375,81.646875,38.434375,37.60382236,127.1071027,143.59375,67.17299107142857,60.040625,203.634375,270.8073660714286,1
2108,2137,7330,서울특별시북부병원,26.791666666666668,226.85416666666663,65.47321428571429,62.645833333333336,26.5,75.53750000000001,37.60394387,127.1071592,126.82291666666664,64.05952380952381,51.018750000000004,177.84166666666664,241.90119047619044,1
2109,2138,7331,양원역입구,97.51041666666669,209.88541666666663,187.91294642857144,29.129464285714285,92.371875,25.215625,37.60553999,127.106195,153.69791666666666,108.52120535714286,58.79375,212.49166666666667,321.01287202380956,0
2110,2139,7332,양원역입구,40.28472222222222,218.70833333333331,113.47916666666669,35.75297619047619,64.62916666666666,30.804166666666664,37.60563001,127.1062704,129.49652777777777,74.61607142857144,47.71666666666666,177.21319444444444,251.82926587301588,0
2111,2140,7333,양원리,2.473958333333333,11.71875,6.058035714285714,9.03125,2.990625,10.765625,37.60890741,127.1063219,7.096354166666666,7.544642857142858,6.878125,13.974479166666665,21.519122023809523,0
2112,2141,7334,양원리,16.869791666666668,36.703125,43.11830357142857,7.698660714285714,17.625,4.20625,37.60891897,127.1061904,26.786458333333336,25.408482142857142,10.915625,37.702083333333334,63.11056547619047,0
2113,2142,7335,동서울교회,0.9010416666666666,43.052083333333336,1.2120535714285714,31.651785714285715,0.740625,32.325,37.61180935,127.1052075,21.9765625,16.431919642857142,16.532812500000002,38.509375000000006,54.941294642857144,0
2114,2143,7336,동서울교회,11.661458333333334,3.4166666666666665,9.042410714285714,1.8035714285714288,8.8375,1.06875,37.61167975,127.1053066,7.5390625,5.422991071428571,4.953125,12.4921875,17.91517857142857,0
2115,2144,7337,중랑공영차고지,2.119221411192214,42.88686131386861,1.861835245046924,33.40875912408759,2.048905109489051,50.950364963503645,37.61360933,127.1020072,22.50304136253041,17.635297184567257,26.499635036496347,49.002676399026754,66.637973583594,1
2116,2145,7338,중랑공영차고지,22.847117794486213,1.2030075187969924,12.517722878625134,1.6702470461868957,11.649624060150376,1.3037593984962406,37.61374845,127.1019534,12.025062656641602,7.093984962406015,6.476691729323308,18.501754385964908,25.595739348370923,0
2117,2146,7346,면목아남아파트,121.60416666666666,63.47916666666667,62.830357142857146,56.61607142857143,62.925,87.0125,37.59028916,127.0851829,92.54166666666666,59.72321428571429,74.96875,167.51041666666666,227.23363095238096,1
2118,2147,7347,중랑소방서,14.260416666666666,134.5,10.80059523809524,72.18005952380953,9.520833333333334,76.65416666666667,37.61486336,127.0952132,74.38020833333333,41.49032738095239,43.0875,117.46770833333332,158.9580357142857,1
2119,2148,7348,세방아파트입구,174.10416666666666,18.541666666666668,101.41071428571428,25.714285714285715,42.9375,32.3125,37.61504446,127.0845195,96.32291666666666,63.5625,37.625,133.94791666666666,197.51041666666666,0
2120,2149,7349,원묵고등학교,32.895833333333336,102.45833333333331,25.92857142857143,57.42857142857143,22.2875,115.25,37.61565413,127.0855065,67.67708333333333,41.67857142857143,68.76875,136.44583333333333,178.12440476190477,1
2121,2150,7350,먹골파출소.신안아파트입구,87.27083333333333,63.333333333333336,42.94642857142857,61.13392857142857,21.5875,69.3625,37.61450247,127.0821945,75.30208333333333,52.04017857142857,45.474999999999994,120.77708333333332,172.8172619047619,0
2122,2151,7351,먹골파출소.신안아파트입구,138.75,27.33333333333333,57.77678571428572,31.875,41.125,70.0625,37.61440286,127.081315,83.04166666666666,44.82589285714286,55.59375,138.63541666666666,183.46130952380952,1
2123,2152,7352,신안2차아파트,64.66666666666667,184.97916666666663,21.392857142857142,131.33928571428572,17.175,122.2125,37.61477567,127.0788603,124.82291666666666,76.36607142857143,69.69375000000001,194.51666666666665,270.8827380952381,0
2124,2153,7353,신안2차아파트입구,121.08333333333331,22.83333333333333,53.80357142857143,39.0,62.275,92.4,37.61443261,127.079875,71.95833333333331,46.401785714285715,77.3375,149.29583333333332,195.69761904761904,1
2125,2154,7354,중랑소방서,21.428571428571427,23.598214285714285,19.317602040816325,24.70408163265306,15.548214285714286,42.32857142857143,37.61477693,127.0951753,22.513392857142854,22.01084183673469,28.93839285714286,51.45178571428571,73.4626275510204,0
2126,2155,7355,송곡여고양원역,129.6875,296.875,317.0267857142857,27.678571428571427,190.5625,23.0125,37.60580983,127.1058772,213.28125,172.35267857142858,106.7875,320.06875,492.4214285714286,0
2127,2156,7356,송곡여고양원역,15.354166666666666,304.625,17.86607142857143,60.13392857142857,8.1,45.275,37.60573369,127.1059414,159.98958333333334,39.0,26.6875,186.67708333333334,225.67708333333334,1
2128,2157,7357,풍진슈퍼,44.0625,20.64583333333333,42.91964285714285,5.633928571428571,29.925,8.8875,37.60471653,127.1034852,32.354166666666664,24.276785714285708,19.40625,51.760416666666664,76.03720238095238,0
2129,2158,7358,풍진슈퍼,13.333333333333332,79.20833333333333,8.625,49.80357142857143,3.6,52.95,37.60463347,127.1035446,46.27083333333333,29.214285714285715,28.275000000000002,74.54583333333333,103.76011904761904,0
2130,2159,7359,이화미디어고.중랑숲어린이도서관,111.66666666666669,53.3125,92.47321428571428,14.044642857142858,60.075,19.8625,37.60323735,127.1019809,82.48958333333334,53.25892857142857,39.96875,122.45833333333334,175.71726190476193,0
2131,2160,7360,이화미디어고.중랑숲어린이도서관,43.125,97.83333333333331,15.223214285714286,55.410714285714285,11.425,82.3875,37.60312919,127.1020864,70.47916666666666,35.316964285714285,46.90625,117.38541666666666,152.70238095238093,1
2132,2161,7361,금란교회,237.35416666666663,19.5,161.26785714285714,12.794642857142858,180.4375,18.0,37.60107733,127.1019664,128.42708333333331,87.03125,99.21875,227.64583333333331,314.6770833333333,0
2133,2162,7362,금란교회,49.708333333333336,112.4375,11.294642857142858,108.29464285714286,8.762500000000001,136.0375,37.60106851,127.1020779,81.07291666666667,59.79464285714286,72.39999999999999,153.47291666666666,213.26755952380952,0
2134,2163,7363,망우사거리,197.8125,27.1875,96.16071428571428,28.803571428571427,110.25,22.3875,37.60051347,127.1001548,112.5,62.482142857142854,66.31875,178.81875,241.30089285714286,1
2135,2164,7364,망우사거리,16.833333333333332,85.77083333333333,6.392857142857143,61.75,5.9625,103.7125,37.60040652,127.1000391,51.30208333333333,34.07142857142857,54.837500000000006,106.13958333333333,140.2110119047619,1
2136,2165,7365,국민은행망우동지점,321.8125,57.4375,407.07142857142856,62.51785714285714,503.5875,41.5375,37.59989626,127.0974181,189.625,234.79464285714283,272.5625,462.1875,696.9821428571429,0
2137,2166,7366,국민은행망우동지점,73.64583333333333,38.895833333333336,63.89285714285714,38.48214285714285,76.5625,67.25,37.59983697,127.097431,56.27083333333333,51.18749999999999,71.90625,128.17708333333331,179.36458333333331,0
2138,2167,7367,신내6단지아파트,31.95416666666667,41.0,26.382142857142856,73.20892857142857,42.0025,85.235,37.61630353,127.0917609,36.47708333333333,49.79553571428571,63.61875,100.09583333333333,149.89136904761904,0
2139,2168,7369,이수아파트앞시장입구,85.125,106.6875,73.6875,172.69642857142856,49.0125,197.4375,37.618279,127.0832894,95.90625,123.19196428571428,123.225,219.13125,342.32321428571424,0
2140,2169,7370,이수아파트앞시장입구,162.52083333333334,46.083333333333336,202.47321428571428,46.267857142857146,127.65,59.4125,37.61819036,127.0832731,104.30208333333334,124.37053571428571,93.53125,197.83333333333334,322.20386904761904,0
2141,2170,7371,묵동교,25.375,201.52083333333331,9.455357142857142,215.8392857142857,9.4375,231.525,37.61798335,127.0791466,113.44791666666666,112.64732142857142,120.48125,233.92916666666667,346.5764880952381,0
2142,2171,7372,묵동교,151.39583333333334,24.791666666666668,142.88392857142856,35.9375,177.675,44.9,37.61789798,127.0791815,88.09375,89.41071428571428,111.28750000000001,199.38125000000002,288.7919642857143,0
2143,2172,7373,동양쇼핑,113.94791666666669,83.16666666666667,60.12053571428572,112.40625,66.8125,108.95,37.61541769,127.0785798,98.55729166666669,86.26339285714286,87.88125,186.43854166666668,272.70193452380954,0
2144,2173,7374,동양쇼핑,48.41666666666666,18.89583333333333,112.67857142857144,33.61607142857143,114.4,53.8875,37.61559532,127.0779234,33.65624999999999,73.14732142857144,84.14375000000001,117.80000000000001,190.94732142857146,0
2145,2174,7375,우리은행,72.66666666666667,105.05208333333331,57.71875,131.89285714285714,73.38125,107.8125,37.61574683,127.0768005,88.859375,94.80580357142857,90.596875,179.45625,274.26205357142857,0
2146,2175,7376,목동교입구.로프트원오피스텔,162.70833333333334,20.0625,175.90178571428572,29.276785714285715,223.2375,42.7375,37.61565315,127.0768117,91.38541666666667,102.58928571428572,132.9875,224.3729166666667,326.9622023809524,0
2147,2176,7377,한국아파트,26.14583333333333,14.583333333333334,18.955357142857142,29.848214285714285,18.4875,71.525,37.61513551,127.0734306,20.364583333333332,24.401785714285715,45.00625,65.37083333333334,89.77261904761906,0
2148,2177,7378,동구햇살아파트,151.72916666666669,31.75,74.29464285714286,55.3125,48.1875,189.9,37.61349867,127.0740028,91.73958333333334,64.80357142857143,119.04375,210.78333333333336,275.5869047619048,1
2149,2178,7379,묵동명사약국,94.75,25.375,84.27678571428571,47.85714285714285,74.25,98.4625,37.61494927,127.0753943,60.0625,66.06696428571428,86.35625,146.41875,212.48571428571427,0
2150,2179,7380,묵동명사약국,58.76041666666666,28.916666666666668,35.20982142857143,36.52232142857143,36.46875,34.05625,37.61494877,127.0755022,43.838541666666664,35.86607142857143,35.2625,79.10104166666667,114.9671130952381,0
2151,2180,7381,브라운캐슬,140.29166666666666,34.0,106.44642857142856,47.660714285714285,88.1875,108.375,37.61360196,127.075426,87.14583333333333,77.05357142857142,98.28125,185.42708333333331,262.4806547619047,0
2152,2181,7382,브라운캐슬,218.125,61.58333333333333,68.09821428571429,86.57142857142857,45.825,112.4625,37.61361068,127.0755026,139.85416666666666,77.33482142857143,79.14375000000001,218.99791666666667,296.3327380952381,1
2153,2182,7383,먹골역입구,106.4375,75.25,101.8125,69.90178571428571,110.7875,147.275,37.61168017,127.0757923,90.84375,85.85714285714286,129.03125,219.875,305.7321428571429,0
2154,2183,7384,먹골역입구,162.20833333333334,64.25,82.85714285714286,114.13392857142856,68.275,155.45,37.61169193,127.075867,113.22916666666667,98.49553571428571,111.8625,225.09166666666667,323.58720238095236,0
2155,2184,7385,묵2동주민센터,86.47916666666666,59.8125,96.0,62.660714285714285,85.075,115.3625,37.60990419,127.0761147,73.14583333333333,79.33035714285714,100.21875,173.36458333333331,252.69494047619045,0
2156,2185,7386,묵2동주민센터,118.52083333333331,89.85416666666667,74.45535714285714,138.15178571428572,82.8875,167.025,37.60997658,127.076178,104.1875,106.30357142857143,124.95625000000001,229.14375,335.44732142857146,0
2157,2186,7387,금보당금은방,127.75,56.708333333333336,89.34821428571428,61.67857142857143,63.9125,91.375,37.60811138,127.0764736,92.22916666666667,75.51339285714286,77.64375,169.87291666666667,245.38630952380953,0
2158,2187,7388,금보당금은방,104.125,53.29166666666666,59.35714285714286,78.02678571428572,59.7,98.6125,37.60792479,127.0766162,78.70833333333333,68.69196428571429,79.15625,157.86458333333331,226.5565476190476,0
2159,2188,7389,신묵초등학교입구,126.47916666666669,72.16666666666667,99.83928571428572,80.38392857142857,67.8375,120.15,37.60662745,127.0767126,99.32291666666669,90.11160714285714,93.99375,193.3166666666667,283.42827380952383,0
2160,2189,7390,신묵초등학교,176.60416666666666,69.6875,78.5625,89.41071428571428,78.5125,135.8375,37.60679105,127.0768091,123.14583333333333,83.98660714285714,107.17500000000001,230.32083333333333,314.30744047619044,1
2161,2190,7391,제일시장,155.1875,69.04166666666667,124.57142857142856,75.16071428571428,98.3125,98.2,37.60497758,127.0770545,112.11458333333334,99.86607142857142,98.25625,210.37083333333334,310.2369047619047,0
2162,2191,7392,제일프라자,95.83333333333331,45.10416666666666,121.20535714285714,105.875,126.6,158.8875,37.60497348,127.0771707,70.46874999999999,113.54017857142857,142.74374999999998,213.21249999999998,326.75267857142853,0
2163,2192,7393,신동신약국,39.25,61.083333333333336,52.767857142857146,45.57142857142857,39.3875,48.35,37.60354064,127.0773272,50.16666666666667,49.16964285714286,43.868750000000006,94.03541666666668,143.20505952380955,0
2164,2193,7394,신동신약국,25.77083333333333,49.41666666666666,34.732142857142854,82.25892857142857,52.8125,127.8625,37.60306218,127.0775084,37.59374999999999,58.49553571428571,90.3375,127.93125,186.4267857142857,0
2165,2194,7395,중화역입구대원사약국,25.322916666666668,100.78125,28.678571428571427,95.36160714285714,30.63125,115.91875,37.60126044,127.0777674,63.052083333333336,62.020089285714285,73.275,136.32708333333335,198.34717261904763,0
2166,2195,7396,중화역입구대원사입구,60.770833333333336,135.41666666666666,109.65178571428572,67.42857142857143,159.1,68.25,37.60178789,127.0777648,98.09375,88.54017857142858,113.675,211.76875,300.3089285714286,0
2167,2196,7397,태릉시장입구,28.885416666666668,31.58333333333333,33.5,53.55357142857143,35.34375,76.79375,37.59948266,127.0781227,30.234375,43.526785714285715,56.06875,86.303125,129.82991071428572,0
2168,2197,7398,태릉프라자약국농협,40.25,68.89583333333333,49.10714285714285,83.5625,45.5,104.425,37.59829002,127.077052,54.572916666666664,66.33482142857142,74.9625,129.53541666666666,195.87023809523808,0
2169,2198,7399,태릉시장입구굴다리,63.8125,147.8125,75.15178571428571,113.44642857142856,80.075,120.6875,37.59651169,127.0757591,105.8125,94.29910714285714,100.38125,206.19375,300.49285714285713,0
2170,2199,7401,우남푸르미아아파트,83.97916666666667,40.645833333333336,27.642857142857142,60.5625,16.1,68.4375,37.6075688,127.0995877,62.3125,44.10267857142857,42.26875,104.58125,148.68392857142857,0
2171,2200,7402,우남푸르미아아파트,86.4375,16.895833333333332,28.223214285714285,27.857142857142858,41.1125,39.2625,37.60702445,127.0991513,51.666666666666664,28.04017857142857,40.1875,91.85416666666666,119.89434523809523,1
2172,2201,7403,신내초등학교,137.45833333333334,26.166666666666668,48.24107142857143,40.39285714285714,22.8875,41.4375,37.60566837,127.0979075,81.8125,44.316964285714285,32.1625,113.975,158.29196428571427,0
2173,2202,7404,신내초등학교,51.5,36.375,35.25892857142857,43.54464285714285,40.9625,86.9875,37.60511065,127.0977941,43.9375,39.40178571428571,63.974999999999994,107.9125,147.3142857142857,1
2174,2203,7405,경남아파트,242.35416666666669,16.875,44.660714285714285,30.285714285714285,24.5,19.3375,37.60237342,127.096692,129.61458333333334,37.473214285714285,21.91875,151.53333333333333,189.0065476190476,1
2175,2204,7406,대명프라자,57.10416666666666,57.85416666666666,25.044642857142858,81.66964285714286,26.7875,178.85,37.60252902,127.0968448,57.47916666666666,53.35714285714286,102.81875,160.29791666666665,213.6550595238095,1
2176,2205,7407,건영아파트,36.4375,33.375,19.035714285714285,55.41964285714285,15.7125,66.475,37.6022264,127.0960762,34.90625,37.22767857142857,41.09375,76.0,113.22767857142857,0
2177,2206,7408,상봉1동주민센터,102.55555555555556,68.46969696969697,69.35281385281385,92.6818181818182,54.58787878787879,160.8030303030303,37.60042951,127.0875705,85.51262626262627,81.01731601731603,107.69545454545455,193.2080808080808,274.22539682539684,0
2178,2207,7409,상봉1동주민센터,189.5170068027211,56.57142857142857,101.97667638483964,56.35568513119534,81.24081632653062,48.097959183673474,37.60066545,127.0873702,123.04421768707485,79.16618075801749,64.66938775510205,187.7136054421769,266.8797862001944,0
2179,2208,7410,신내쌍용아파트,56.39111111111111,33.93333333333333,27.314285714285717,33.158095238095235,16.530666666666665,63.242666666666665,37.60153281,127.0874082,45.16222222222222,30.236190476190476,39.88666666666666,85.04888888888888,115.28507936507935,1
2180,2209,7411,신내쌍용아파트,154.71428571428572,33.83673469387755,61.45189504373178,58.18367346938776,41.30204081632653,72.18367346938776,37.60178564,127.0872235,94.27551020408164,59.817784256559776,56.74285714285715,151.0183673469388,210.83615160349856,0
